Destination,Category,Description,Spot,Spot Image,Rating,Estimated Cost (INR),Visit Duration (hrs),Best Time to Visit,Spot Type,User Comments
Mumbai,City,"Gateway of India, Marine Drive",Gateway of India,/images/gateway.jpg,4.0,385,1.9,Nov-Feb,General,Very good place to visit.
Mumbai,City,"Gateway of India, Marine Drive",Marine Drive,/images/marine_drive.jpg,5.0,366,1.2,Nov-Feb,City,Amazing experience! Highly recommended.
Mumbai,City,"Gateway of India, Marine Drive",Elephanta Caves,/images/elephanta_caves.jpg,3.0,359,1.7,Nov-Feb,Historical,"It was okay, worth a short visit."
Mumbai,City,"Gateway of India, Marine Drive",Juhu Beach,/images/juhu_beach.jpg,4.0,351,1.3,Nov-Feb,Beach,Very good place to visit.
Lonavala,Nature,"Karla Caves, Bhushi Dam",Karla Caves,/images/karla_caves.jpg,5.0,296,1.8,Jul-Sep,Historical,Amazing experience! Highly recommended.
Lonavala,Nature,"Karla Caves, Bhushi Dam",Bhushi Dam,/images/bhushi_dam.jpg,4.0,324,1.4,Jul-Sep,General,Very good place to visit.
Lonavala,Nature,"Karla Caves, Bhushi Dam",Tiger’s Leap,/images/tigers_leap.jpg,4.0,296,0.8,Jul-Sep,General,Very good place to visit.
Lonavala,Nature,"Karla Caves, Bhushi Dam",Lonavala Lake,/images/lonavala_lake.jpg,5.0,255,1.1,Jul-Sep,Nature,Amazing experience! Highly recommended.
Mahabaleshwar,Hills,"Strawberry farms, Arthur Seat Point",Venna Lake,/images/venna_lake.jpg,4.0,244,1.6,Oct-Mar,Nature,Very good place to visit.
Mahabaleshwar,Hills,"Strawberry farms, Arthur Seat Point",Arthur Seat,/images/arthur_seat.jpg,5.0,313,1.6,Oct-Mar,General,Amazing experience! Highly recommended.
Mahabaleshwar,Hills,"Strawberry farms, Arthur Seat Point",Mapro Garden,/images/mapro_garden.jpg,4.0,308,0.7,Oct-Mar,Nature,Very good place to visit.
Mahabaleshwar,Hills,"Strawberry farms, Arthur Seat Point",Wilson Point,/images/wilson_point.jpg,5.0,354,0.9,Oct-Mar,Scenic,Amazing experience! Highly recommended.
Pune,City,"Shaniwar Wada, Aga Khan Palace",Shaniwar Wada,/images/shaniwar_wada.jpg,4.0,394,1.2,Nov-Feb,Historical,Very good place to visit.
Pune,City,"Shaniwar Wada, Aga Khan Palace",Aga Khan Palace,/images/aga_khan_palace.jpg,5.0,281,2.2,Nov-Feb,Historical,Amazing experience! Highly recommended.
Pune,City,"Shaniwar Wada, Aga Khan Palace",Sinhagad Fort,/images/sinhagad_fort.jpg,5.0,251,2.2,Nov-Feb,Historical,Amazing experience! Highly recommended.
Pune,City,"Shaniwar Wada, Aga Khan Palace",Pataleshwar Cave Temple,/images/pataleshwar.jpg,4.0,354,2.4,Nov-Feb,Spiritual,Very good place to visit.
Nashik,Nature,"Trimbakeshwar Temple, Sula Vineyards",Trimbakeshwar Temple,/images/trimbakeshwar.jpg,5.0,217,1.1,Jul-Sep,Spiritual,Amazing experience! Highly recommended.
